internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
22692766,Pardirallus nigricans,Ortygonax nigricans nigricans Stotz et al. (1996),Ortygonax nigricans,nigricans,Stotz et al. (1996),,
22692772,Pardirallus sanguinolentus,Ortygonax sanguinolentus sanguinolentus Stotz et al. (1996),Ortygonax sanguinolentus,sanguinolentus,Stotz et al. (1996),,
22692816,Porphyrio alleni,Porphyrula alleni alleni Dowsett and Forbes-Watson (1993),Porphyrula alleni,alleni,Dowsett and Forbes-Watson (1993),,
22692816,Porphyrio alleni,Porphyrula alleni alleni Cramp and Simmons (1977-1994),Porphyrula alleni,alleni,Cramp and Simmons (1977-1994),,
22692827,Porphyrio martinicus,"Porphyrio martinicus martinicus Sibley and Monroe (1990, 1993)",Porphyrio martinicus,martinicus,"Sibley and Monroe (1990, 1993)",,
22692827,Porphyrio martinicus,Porphyrula martinica,Porphyrula martinica,,Dowsett and Forbes-Watson (1993),,
22692827,Porphyrio martinicus,Porphyrula martinica,Porphyrula martinica,,Cramp and Simmons (1977-1994),,
22692827,Porphyrio martinicus,Porphyrio martinica,Porphyrio,martinica,,,
22692827,Porphyrio martinicus,Porphyrula martinica,Porphyrula martinica,,Stotz et al. (1996),,
22692848,Porphyrio flavirostris,Porphyrula flavirostris flavirostris Stotz et al. (1996),Porphyrula flavirostris,flavirostris,Stotz et al. (1996),,
22692883,Paragallinula angulata,"Gallinula angulata Sundevall, 1851",Gallinula,angulata,"Sundevall, 1851",,
22692887,Porphyriops melanops,Porphyriops melanops melanops Stotz et al. (1996),Porphyriops melanops,melanops,Stotz et al. (1996),,
22692887,Porphyriops melanops,"Gallinula melanops (Vieillot, 1819)",Gallinula,melanops,"(Vieillot, 1819)",,
22692893,Tribonyx ventralis,"Tribonyx ventralis ssp. ventralis (Gould, 1837)",Tribonyx,ventralis,,subspecies,"(Gould, 1837)"
22692893,Tribonyx ventralis,"Gallinula ventralis Gould, 1837",Gallinula,ventralis,"Gould, 1837",,
22692940,Fulica rufifrons,"Tulica rufifrons Philippi & Landbeck, 1861",Tulica,rufifrons,"Philippi & Landbeck, 1861",,
22693277,Actitis macularius,"Tringa macularia macularia Sibley and Monroe (1990, 1993)",Tringa macularia,macularia,"Sibley and Monroe (1990, 1993)",,
22693277,Actitis macularius,Actitis macularia macularia Stotz et al. (1996),Actitis macularia,macularia,Stotz et al. (1996),,
22693277,Actitis macularius,Actitis macularia macularia Cramp and Simmons (1977-1994),Actitis macularia,macularia,Cramp and Simmons (1977-1994),,
22693289,Tringa brevipes,"Tringa brevipes Sibley and Monroe (1990, 1993)",Tringa,brevipes,"Sibley and Monroe (1990, 1993)",,
22693289,Tringa brevipes,Tringa brevipes Turbott (1990),Tringa,brevipes,Turbott (1990),,
22693289,Tringa brevipes,Tringa brevipes Christidis and Boles (2008),Tringa,brevipes,Christidis and Boles (2008),,
22693289,Tringa brevipes,Tringa brevipes AOU checklist (1998 + supplements),Tringa,brevipes,AOU checklist (1998 + supplements),,
