assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
130272791,22702150,Sylviorthorhynchus desmurii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Sylviorthorhynchus,desmurii,,,,"Des Murs, 1847",Least Concern,,3.1,Decreasing,Global
130273037,22702217,Asthenes fuliginosa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Asthenes,fuliginosa,,,,"(Lafresnaye, 1843)",Least Concern,,3.1,Stable,Global
130273281,22702287,Synallaxis frontalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,frontalis,,,,"Pelzeln, 1859",Least Concern,,3.1,Increasing,Global
130273582,22702360,Synallaxis rutilans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,rutilans,,,,"Temminck, 1823",Least Concern,,3.1,Decreasing,Global
130273844,22702381,Synallaxis cinnamomea,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,cinnamomea,,,,"Lafresnaye, 1843",Least Concern,,3.1,Stable,Global
130274098,22702399,Synallaxis scutata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Synallaxis,scutata,,,,"Sclater, 1859",Least Concern,,3.1,Decreasing,Global
130274343,22702594,Thripophaga fusciceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Thripophaga,fusciceps,,,,"Sclater, 1889",Least Concern,,3.1,Stable,Global
130274607,22702610,Phacellodomus sibilatrix,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,sibilatrix,,,,"Sclater, 1879",Least Concern,,3.1,Decreasing,Global
130275321,22702621,Phacellodomus ruber,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,ruber,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
130275632,22702627,Phacellodomus erythrophthalmus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Phacellodomus,erythrophthalmus,,,,"(Wied, 1821)",Least Concern,,3.1,Decreasing,Global
130276118,22702740,Pseudoseisura lophotes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Pseudoseisura,lophotes,,,,"(Reichenbach, 1853)",Least Concern,,3.1,Decreasing,Global
130276465,22702757,Ancistrops strigilatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Ancistrops,strigilatus,,,,"(Spix, 1825)",Least Concern,,3.1,Stable,Global
130276905,22702792,Anabacerthia ruficaudata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Anabacerthia,ruficaudata,,,,"(D'Orbigny &amp; Lafresnaye, 1838)",Least Concern,,3.1,Decreasing,Global
130277191,22702800,Philydor pyrrhodes,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Philydor,pyrrhodes,,,,"(Cabanis, 1848)",Least Concern,,3.1,Stable,Global
130277586,22702803,Syndactyla dimidiata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Syndactyla,dimidiata,,,,"(Pelzeln, 1859)",Least Concern,,3.1,Decreasing,Global
130278500,22702913,Anabazenops dorsalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Anabazenops,dorsalis,,,,"Sclater & Salvin, 1880",Least Concern,,3.1,Stable,Global
130278783,22702929,Syndactyla roraimae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Syndactyla,roraimae,,,,"(Hellmayr, 1917)",Least Concern,,3.1,Stable,Global
130279025,22702938,Automolus melanopezus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Automolus,melanopezus,,,,"(Sclater, 1858)",Least Concern,,3.1,Decreasing,Global
130279293,22702946,Automolus rufipileatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Automolus,rufipileatus,,,,"(Pelzeln, 1859)",Least Concern,,3.1,Decreasing,Global
130279567,22702949,Clibanornis rectirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Clibanornis,rectirostris,,,,"(Wied, 1831)",Least Concern,,3.1,Decreasing,Global
130280143,22702972,Sclerurus caudacutus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Sclerurus,caudacutus,,,,"(Vieillot, 1816)",Least Concern,,3.1,Decreasing,Global
130280465,22702992,Xenops tenuirostris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xenops,tenuirostris,,,,"Pelzeln, 1859",Least Concern,,3.1,Stable,Global
130281058,22703001,Megaxenops parnaguae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Megaxenops,parnaguae,,,,"Reiser, 1905",Least Concern,,3.1,Stable,Global
130281335,22703004,Pygarrhichas albogularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Pygarrhichas,albogularis,,,,"(King, 1831)",Least Concern,,3.1,Decreasing,Global
130281913,22703052,Dendrexetastes rufigula,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Dendrexetastes,rufigula,,,,"(Lesson, 1844)",Least Concern,,3.1,Stable,Global
130282232,22703055,Hylexetastes stresemanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Hylexetastes,stresemanni,,,,"Snethlage, 1925",Least Concern,,3.1,Decreasing,Global
130282827,22703068,Xiphocolaptes albicollis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphocolaptes,albicollis,,,,"(Vieillot, 1818)",Least Concern,,3.1,Stable,Global
130283087,22703076,Xiphocolaptes major,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphocolaptes,major,,,,"(Vieillot, 1818)",Least Concern,,3.1,Decreasing,Global
130283409,22703079,Dendrocolaptes certhia,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Dendrocolaptes,certhia,,,,"(Boddaert, 1783)",Least Concern,,3.1,Stable,Global
130284162,22703112,Xiphorhynchus obsoletus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,obsoletus,,,,"(Lichtenstein, 1820)",Least Concern,,3.1,Decreasing,Global
130284616,22703118,Xiphorhynchus spixii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,spixii,,,,"(Lesson, 1830)",Least Concern,,3.1,Decreasing,Global
130284868,22703121,Xiphorhynchus elegans,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,elegans,,,,"(Pelzeln, 1868)",Least Concern,,3.1,Decreasing,Global
130285514,22703124,Xiphorhynchus pardalotus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,pardalotus,,,,"(Vieillot, 1818)",Least Concern,,3.1,Stable,Global
130286041,22703146,Xiphorhynchus triangularis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FURNARIIDAE,Xiphorhynchus,triangularis,,,,"(Lafresnaye, 1842)",Least Concern,,3.1,Decreasing,Global
130324636,22703212,Chamaeza campanisona,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FORMICARIIDAE,Chamaeza,campanisona,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Decreasing,Global
130324930,22703225,Chamaeza ruficauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,FORMICARIIDAE,Chamaeza,ruficauda,,,,"(Cabanis & Heine, 1859)",Least Concern,,3.1,Decreasing,Global
130325726,22703265,Grallaria eludens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,eludens,,,,"Lowery & O'Neill, 1969",Least Concern,,3.1,Unknown,Global
130326039,22703281,Grallaria andicolus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,andicolus,,,,"(Cabanis, 1873)",Least Concern,,3.1,Stable,Global
130326281,22703305,Grallaria flavotincta,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Grallaria,flavotincta,,,,"Sclater, 1877",Least Concern,,3.1,Stable,Global
130326991,22703343,Hylopezus fulviventris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Hylopezus,fulviventris,,,,"(Sclater, 1858)",Least Concern,,3.1,Stable,Global
130327291,22703346,Hylopezus berlepschi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Hylopezus,berlepschi,,,,"(Hellmayr, 1903)",Least Concern,,3.1,Stable,Global
130327580,22703355,Myrmothera campanisona,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,GRALLARIIDAE,Myrmothera,campanisona,,,,"(Hermann, 1783)",Least Concern,,3.1,Stable,Global
130327889,22703409,Conopophaga ardesiaca,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,ardesiaca,,,,"d'Orbigny & Lafresnaye, 1837",Least Concern,,3.1,Stable,Global
130328125,22703415,Conopophaga melanops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,melanops,,,,"(Vieillot, 1818)",Least Concern,,3.1,Stable,Global
130328363,22703418,Conopophaga melanogaster,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CONOPOPHAGIDAE,Conopophaga,melanogaster,,,,"Ménétries, 1835",Least Concern,,3.1,Stable,Global
130328965,22703421,Pteroptochos castaneus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Pteroptochos,castaneus,,,,"Philippi & Landbeck, 1864",Least Concern,,3.1,Decreasing,Global
130329211,22703426,Pteroptochos tarnii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Pteroptochos,tarnii,,,,"(King, 1831)",Least Concern,,3.1,Decreasing,Global
130329453,22703437,Scelorchilus rubecula,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Scelorchilus,rubecula,,,,"(Kittlitz, 1830)",Least Concern,,3.1,Decreasing,Global
130329722,22703480,Eugralla paradoxa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,RHINOCRYPTIDAE,Eugralla,paradoxa,,,,"(Kittlitz, 1830)",Least Concern,,3.1,Decreasing,Global
130330007,22703574,Climacteris erythrops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,CLIMACTERIDAE,Climacteris,erythrops,,,,"Gould, 1841",Least Concern,,3.1,Decreasing,Global
130344854,22703810,Myzomela blasii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myzomela,blasii,,,,"(Salvadori, 1882)",Least Concern,,3.1,Stable,Global
130345137,22703827,Myzomela nigrita,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,MELIPHAGIDAE,Myzomela,nigrita,,,,"Gray, 1858",Least Concern,,3.1,Stable,Global
