"","grid_id","fortify_id","fdisp_orig","fdisp_HL","fdisp_WT","fdisp_HL_WT","fdisp_HL_null","fdisp_WT_null","fdisp_HL_WT_null","z_HL","z_WT","z_HL_WT","sr_orig","sr_HL","sr_WT","sr_HL_WT"
"19969",19969,"212",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19970",19970,"213",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19971",19971,"214",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19972",19972,"215",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19973",19973,"216",1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,1.50365088217873,NA,NA,NA,2,2,2,2
"19974",19974,"217",0,0,0,0,0,0,0,NA,NA,NA,1,1,1,1
"19975",19975,"218",0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,0.0643554469424735,NA,NA,NA,2,2,2,2
"19976",19976,"219",0.812020630083386,0.812020630083386,0.812020630083386,0.812020630083386,0.812020630083386,0.812020630083386,0.812020630083386,NA,NA,NA,6,6,6,6
"19977",19977,"220",0.904612563510487,0.904612563510487,0.904612563510487,0.904612563510487,0.904612563510487,0.904612563510487,0.904612563510487,NA,NA,NA,7,7,7,7
"19978",19978,"221",0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,NA,NA,NA,6,6,6,6
"19979",19979,"222",0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,NA,NA,NA,6,6,6,6
"19980",19980,"223",0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,NA,NA,NA,6,6,6,6
"19981",19981,"224",0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,NA,NA,NA,6,6,6,6
"19982",19982,"225",0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,0.706093121451687,NA,NA,NA,6,6,6,6
"20054",20054,"226",0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,NA,NA,NA,5,5,5,5
"20055",20055,"227",0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,NA,NA,NA,5,5,5,5
"20056",20056,"228",0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,NA,NA,NA,5,5,5,5
"20057",20057,"229",0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,0.818273937899876,NA,NA,NA,5,5,5,5
"20058",20058,"230",0.92705239500068,0.92705239500068,0.92705239500068,0.92705239500068,0.92705239500068,0.92705239500068,0.92705239500068,NA,NA,NA,7,7,7,7
